Event Time,Message,Log group,Log stream
2023-07-13T19:06:42.958+05:30,"2023-07-13T13:36:42.958Z	bbeb94fb-e32e-44bb-a319-6bd587d1e786	INFO	redis client ready
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:42.960+05:30,"REPORT RequestId: bbeb94fb-e32e-44bb-a319-6bd587d1e786	Duration: 7.43 ms	Billed Duration: 8 ms	Memory Size: 128 MB	Max Memory Used: 101 MB	
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:42.997+05:30,"END RequestId: 4def4fc2-23dc-4b65-b1c2-f252ab0e6050
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:42.997+05:30,"REPORT RequestId: 4def4fc2-23dc-4b65-b1c2-f252ab0e6050	Duration: 21.43 ms	Billed Duration: 22 ms	Memory Size: 128 MB	Max Memory Used: 101 MB	
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.020+05:30,"2023-07-13T13:36:43.020Z	b409c2ed-590c-433f-8914-d4b3fbf87678	INFO	redis client ready
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.043+05:30,"END RequestId: b409c2ed-590c-433f-8914-d4b3fbf87678
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.043+05:30,"REPORT RequestId: b409c2ed-590c-433f-8914-d4b3fbf87678	Duration: 33.27 ms	Billed Duration: 34 ms	Memory Size: 128 MB	Max Memory Used: 101 MB	
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.061+05:30,"2023-07-13T13:36:43.061Z	9e661212-dbf6-42be-8e9d-56aa4763a181	INFO	redis client ready
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.077+05:30,"END RequestId: 9e661212-dbf6-42be-8e9d-56aa4763a181
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.117+05:30,"END RequestId: 50b80e04-906c-43ae-9837-fdc188f18bdb
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.117+05:30,"REPORT RequestId: 50b80e04-906c-43ae-9837-fdc188f18bdb	Duration: 9.22 ms	Billed Duration: 10 ms	Memory Size: 128 MB	Max Memory Used: 101 MB	
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.144+05:30,"2023-07-13T13:36:43.144Z	be97e0d4-b7ba-421e-b364-3c1923a4b3a7	INFO	redis client ready
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.218+05:30,"START RequestId: 297930e0-c6e5-4350-990d-634648553d33 Version: $LATEST
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.237+05:30,"END RequestId: 297930e0-c6e5-4350-990d-634648553d33
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.237+05:30,"REPORT RequestId: 297930e0-c6e5-4350-990d-634648553d33	Duration: 19.50 ms	Billed Duration: 20 ms	Memory Size: 128 MB	Max Memory Used: 101 MB	
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.284+05:30,"2023-07-13T13:36:43.284Z	c47f30df-0084-4d7f-af57-d908951c935f	INFO	redis client ready
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.287+05:30,"END RequestId: c47f30df-0084-4d7f-af57-d908951c935f
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.287+05:30,"REPORT RequestId: c47f30df-0084-4d7f-af57-d908951c935f	Duration: 7.55 ms	Billed Duration: 8 ms	Memory Size: 128 MB	Max Memory Used: 101 MB	
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.321+05:30,"START RequestId: f34dc3fd-9a9a-4812-aa44-68cac96999d1 Version: $LATEST
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.325+05:30,"2023-07-13T13:36:43.325Z	f34dc3fd-9a9a-4812-aa44-68cac96999d1	INFO	redis client ready
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.337+05:30,"REPORT RequestId: f34dc3fd-9a9a-4812-aa44-68cac96999d1	Duration: 16.42 ms	Billed Duration: 17 ms	Memory Size: 128 MB	Max Memory Used: 101 MB	
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.501+05:30,"START RequestId: 91787ce3-3e16-48a1-8f85-f942b8da02fe Version: $LATEST
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.506+05:30,"2023-07-13T13:36:43.506Z	91787ce3-3e16-48a1-8f85-f942b8da02fe	INFO	redis client ready
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.517+05:30,"END RequestId: 91787ce3-3e16-48a1-8f85-f942b8da02fe
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.543+05:30,"START RequestId: 1adc6779-8216-4f56-b277-4cf831f408d6 Version: $LATEST
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.563+05:30,"END RequestId: 1adc6779-8216-4f56-b277-4cf831f408d6
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.563+05:30,"REPORT RequestId: 1adc6779-8216-4f56-b277-4cf831f408d6	Duration: 20.57 ms	Billed Duration: 21 ms	Memory Size: 128 MB	Max Memory Used: 101 MB	
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.616+05:30,"START RequestId: c1c39470-7b4b-4310-92d2-5d96ecc342d8 Version: $LATEST
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.636+05:30,"2023-07-13T13:36:43.636Z	c1c39470-7b4b-4310-92d2-5d96ecc342d8	INFO	redis client ready
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.639+05:30,"END RequestId: c1c39470-7b4b-4310-92d2-5d96ecc342d8
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
2023-07-13T19:06:43.639+05:30,"REPORT RequestId: c1c39470-7b4b-4310-92d2-5d96ecc342d8	Duration: 22.86 ms	Billed Duration: 23 ms	Memory Size: 128 MB	Max Memory Used: 101 MB	
",435639112445:/aws/lambda/redis-stack-charge_request_redis-lambda-fn,2023/07/13/[$LATEST]9a143734800b47bba436a4dcf16496da
